"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Липецкая область","16.2","17.3","17.9","15","14.2","17.029","18.487","15","13.5","16.637","20.119","16.048","13.553","19.122","19.261","16.281","14.602","14.561","16.243","15.873","14.069","17.661","18.845","15.677","14.33","18.874","21.66","18.302","16.19","21.499","20.59","15.319","14.456"
"Московская область","110.6","123.7","136.5","122.9","109.879","126.151","145.416","137.2","119.3","131.157","149.86","131.202","118.184","139.71","164.851","144.883","131.683","127.763","168.671","146.744","149.836","169.387","194.903","159.55","150.594","168.581","195.279","167.594","159.926","190.182","195.287","155.768","144.813"
"Орловская область","9.2","11.6","12","10.6","9.492","11.616","11.735","10.3","8.8","12.05","11.756","11.068","9.436","11.355","12.18","9.825","8.35","9.503","11.042","9.745","8.841","11.25","12.297","9.472","8.474","10.895","13.496","10.872","9.808","11.663","11.581","9.231","9.385"
"Рязанская область","12.2","16.6","17","16.5","12.208","15.858","15.285","14.4","13.1","15.642","16.786","15.885","12.352","16.095","16.842","14.068","12.828","14.022","16.232","14.148","12.417","16.49","16.855","14.465","12.798","17.685","18.649","14.77","14.436","20.304","19.663","17.187","13.642"
"Смоленская область","10.7","13.5","13.7","13.1","10.448","13.314","14.485","12.6","10.7","14.519","13.758","12.033","11.686","13.544","14.342","14.84","10.745","11.678","13.533","11.237","10.918","14.229","15.478","11.632","11.036","15.683","17.793","14.659","12.52","15.792","15.769","11.814","10.599"
"Тамбовская область","10.7","15.4","13.8","12.9","11.669","14.149","15.002","12.2","10.5","14.234","14.554","12.785","10.027","14.574","14.736","12.215","9.889","12.188","13.435","12.224","9.75","15.218","15.972","13.741","12.167","15.26","16.338","15.97","13.218","17.384","15.288","16.376","12.742"
"Тверская область","16.2","19.4","22.6","20","16.598","20.138","20.621","17.7","15.5","21.006","21.202","17.818","14.831","20.667","22.647","18.101","15.341","18.881","20.663","20.063","15.755","21.18","23.795","18.502","16.34","25.52","27.246","18.614","17.84","24.525","26.028","17.672","16.053"
"Тульская область","18.6","25.9","25.9","21.4","18.938","21.375","23.505","19.8","17.7","22.834","27.291","22.831","18.101","21.898","26.003","21.427","17.221","20.04","23.538","22.478","19.823","25.747","27.567","22.121","18.988","24.526","27.941","24.831","21.436","28.748","28.514","24.15","21.583"
"Ярославская область","18.1","22.4","23.8","20","16.675","22.125","23.832","20.2","16.5","21.183","26.456","21.853","17.042","22.156","23.943","20.226","16.494","18.737","20.704","17.88","15.453","22.819","25.229","20.251","16.816","25.593","27.443","20.093","19.171","26.759","25.937","20.053","17.99"
"г. Москва","249.2","263.2","261.7","263.1","233.964","253.455","283.709","275.6","233.1","281.235","292.77","268.484","243.133","278.012","308.481","324.921","236.211","219.362","288.01","268.522","314.88","316.534","374.103","334.617","360.467","393.039","417.033","389.068","364.154","378.843","397.429","369.407","327.714"
"Северо-Западный федеральный округ","225.8","267.7","299.5","271.6","219.408","264.867","289.378","259.6","222.5","275.13","289.538","272.686","218.029","273.789","301.89","263.823","214.975","223.126","277.917","250.521","219.59","287.317","326.144","270.322","247.887","322.045","355.301","290.19","246.638","320.373","322.114","257.369","231.841"
"Республика Карелия","8.7","11.6","12","10.3","7.951","10.786","11.055","10","7.7","9.525","10.823","10.024","7.698","9.975","11.348","10.332","7.421","8.859","10.314","8.736","7.277","11.066","12.224","10.432","8.9","13.003","15.053","11.255","8.943","13.057","11.816","9.225","7.907"
"Республика Коми","16.9","20","22.2","21.4","17.784","19.333","23.978","18.8","14","17.844","19.478","17.194","15.144","17.789","20.58","16.159","13.219","13.146","18.399","16.443","12.583","18.511","21.396","15.885","12.78","18.748","20.859","15.247","12.737","17.577","19.899","14.948","11.811"
"Архангельская область","15.9","22","24.4","21.1","16.493","21.431","23.443","21.1","15.1","22.356","23.343","21.978","15.026","19.996","22.815","19.791","15.591","18.855","21.786","19.639","15.707","23.023","24.702","20.783","16.861","23.908","26.869","21.405","15.514","23.581","23.533","18.12","14.597"
"Ненецкий авт. округ","1.8","2.8","2.7","2.6","1.789","2.657","2.498","2.4","2","2.972","2.246","2.057","1.459","1.962","2.534","2.172","1.769","2.348","2.325","2.308","1.721","2.157","2.415","1.767","1.777","2.26","2.461","1.92","1.466","2.221","2.032","1.861","1.625"
